company_id,sector,overall_cx_score
COMP_00397,5,45.634920634920626
COMP_00398,7,14.285714285714288
COMP_00399,4,32.53968253968254
COMP_00400,7,100.0
COMP_00401,5,85.31746031746032
COMP_00402,633,68.58465608465607
COMP_00403,6,50.7994018863584
COMP_00404,4,69.86144740382028
COMP_00405,9,77.03373015873015
COMP_00406,9,42.85714285714285
COMP_00407,4,74.60317460317461
COMP_00408,4,70.50264550264549
COMP_00409,9,71.42857142857143
COMP_00410,9,63.095238095238095
COMP_00411,5,70.23809523809523
COMP_00412,633,97.61904761904762
COMP_00413,4,86.5079365079365
COMP_00414,5,46.428571428571416
COMP_00415,6,54.65139642354832
COMP_00416,633,63.0952380952381
COMP_00417,633,50.859788359788354
COMP_00418,4,26.984126984126984
COMP_00419,8,22.22222222222222
COMP_00420,9,74.91789819376025
COMP_00421,9,71.42857142857143
COMP_00422,2,100.0
COMP_00423,5,45.23809523809524
COMP_00424,4,49.60317460317459
COMP_00425,5,88.88888888888889
COMP_00426,4,91.93121693121692
COMP_00427,4,84.12698412698413
COMP_00428,9,76.98412698412699
COMP_00429,4,73.41269841269842
COMP_00430,7,66.07142857142857
COMP_00431,1,0.0
COMP_00432,4,84.52380952380952
COMP_00433,4,84.52380952380952
COMP_00434,9,81.74603174603176
COMP_00435,9,83.73015873015873
COMP_00436,4,56.34920634920635
COMP_00437,9,71.42857142857142
COMP_00438,5,14.285714285714283
COMP_00439,9,84.12698412698414
COMP_00440,7,87.89682539682539
COMP_00441,8,51.32841015193956
COMP_00442,8,29.36507936507936
COMP_00443,633,14.285714285714283
COMP_00444,8,92.06349206349205
COMP_00445,8,66.16868969810146
COMP_00446,4,31.746031746031743
COMP_00447,4,41.666666666666664
COMP_00448,4,43.650793650793645
COMP_00449,4,54.26587301587301
COMP_00450,4,76.1904761904762
COMP_00451,4,91.13756613756614
COMP_00452,4,67.46031746031746
COMP_00453,4,76.71957671957672
COMP_00454,4,48.01587301587301
COMP_00455,4,61.3095238095238
COMP_00456,4,51.19047619047619
COMP_00457,4,24.206349206349202
COMP_00458,4,76.05820105820105
COMP_00459,4,49.92063492063491
COMP_00460,4,100.0
COMP_00461,4,55.33730158730158
COMP_00462,4,61.22448979591836
COMP_00463,4,40.873015873015866
COMP_00464,4,43.253968253968246
COMP_00465,4,46.03174603174603
COMP_00466,8,71.82539682539682
COMP_00467,8,44.84126984126983
COMP_00468,9,77.18253968253968
COMP_00469,633,85.71428571428572
COMP_00470,633,75.1984126984127
COMP_00471,633,57.63888888888888
COMP_00472,633,100.0
COMP_00473,633,92.85714285714286
COMP_00474,633,79.36507936507935
COMP_00475,633,76.98412698412699
COMP_00476,633,63.888888888888886
COMP_00477,633,63.095238095238095
COMP_00478,8,55.15873015873016
COMP_00479,4,57.407407407407405
COMP_00480,4,59.722222222222214
COMP_00481,633,84.32539682539682
COMP_00482,633,59.92063492063492
COMP_00483,633,71.37566137566137
COMP_00484,633,100.0
COMP_00485,633,64.48412698412699
COMP_00486,633,75.68027210884354
COMP_00487,633,66.50793650793652
COMP_00488,633,64.28571428571428
COMP_00489,633,61.111111111111114
COMP_00490,633,60.71428571428571
COMP_00491,8,52.777777777777764
COMP_00492,1,0.0
COMP_00493,2,70.46485260770974
COMP_00494,1,0.0
COMP_00495,4,47.222222222222214
COMP_00496,4,100.0
COMP_00497,9,50.793650793650784
COMP_00498,9,83.79629629629629
COMP_00499,1,0.0
COMP_00500,9,97.61904761904762
COMP_00501,1,0.0
COMP_00502,4,70.63492063492065
COMP_00503,1,0.0
COMP_00504,633,66.66666666666667
COMP_00505,7,98.41269841269842
COMP_00506,1,0.0
COMP_00507,9,91.26984126984125
COMP_00508,9,85.7142857142857
COMP_00509,9,84.12698412698413
COMP_00510,7,98.41269841269842
COMP_00511,9,72.71825396825396
COMP_00512,634,75.0
COMP_00513,9,16.26984126984127
COMP_00514,1,0.0
COMP_00515,7,89.68253968253968
COMP_00516,4,37.301587301587304
COMP_00517,4,79.76190476190477
COMP_00518,9,88.4920634920635
COMP_00519,9,19.84126984126984
COMP_00520,632,21.626984126984127
COMP_00521,4,47.61904761904761
COMP_00522,4,40.476190476190474
COMP_00523,7,59.92063492063491
COMP_00524,7,98.01587301587301
COMP_00525,9,86.11111111111111
COMP_00526,9,85.71428571428572
COMP_00527,9,74.20634920634922
COMP_00528,5,58.86243386243386
COMP_00529,634,75.39682539682539
COMP_00530,4,42.06349206349206
COMP_00531,4,44.84126984126984
COMP_00532,4,58.79818594104308
COMP_00533,4,40.27777777777778
COMP_00534,4,53.37301587301588
COMP_00535,4,93.25396825396824
COMP_00536,4,51.190476190476176
COMP_00537,4,43.25396825396825
COMP_00538,4,36.507936507936506
COMP_00539,4,55.704365079365076
COMP_00540,4,54.18871252204585
COMP_00541,4,56.859410430839
COMP_00542,4,53.57142857142857
COMP_00543,4,45.634920634920626
COMP_00544,4,14.285714285714285
COMP_00545,4,59.92063492063492
COMP_00546,4,53.96825396825396
COMP_00547,4,71.82539682539682
COMP_00548,4,16.666666666666668
COMP_00549,4,71.42857142857143
COMP_00550,4,43.65079365079364
COMP_00551,4,53.57142857142857
COMP_00552,4,28.57142857142857
COMP_00553,4,55.42328042328043
COMP_00554,4,61.111111111111114
COMP_00555,4,45.86167800453514
COMP_00556,4,57.738095238095234
COMP_00557,4,51.98412698412698
COMP_00558,4,36.111111111111114
COMP_00559,4,34.52380952380951
COMP_00560,4,45.63492063492062
COMP_00561,4,17.46031746031746
COMP_00562,4,69.84126984126985
COMP_00563,4,64.68253968253968
